File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B3_UW99,away,2326.8161792233,2,4,0.6175936785,0.6666666667,0.625,0.2,0.4285714286,0.875,0.5,0.7777777778,0.3333333333,0.5,0.5555555556,0.4285714286,0.2,0.5,0.5555555556,0.625
B3_UW98,ahead,1952.6246298836,2,5,0.5993198804,0.625,0.8,0.4285714286,0.5,0.7142857143,0.7,0.9090909091,0.3333333333,0.4285714286,0.5,0.75,0,0.1666666667,0.625,0.7272727273
B3_UW97,watch,1538.412493449,1,5,0.3894242661,0.5714285714,0.6,0.1666666667,0.2857142857,0.5,0.5,0.2857142857,0.375,0.3333333333,0.4285714286,0.6428571429,0.4285714286,0.1666666667,0.5833333333,0.625
B3_UW96,fire,2974.6361956897,1,4,0.8022247362,0.625,0.8571428571,0.4,0.5714285714,0.5555555556,0.4,0.75,0.5,0.5555555556,0.4285714286,1,0.2,0.3333333333,0.5555555556,0.8
B3_UW95,stars,1538.412493449,1,5,0.738691492,0.4285714286,0.7777777778,0.375,0.1666666667,0.6666666667,0.3888888889,0.6666666667,0.2857142857,0.2857142857,0.2857142857,0.7692307692,0.2857142857,0.5,0.6,0.7
B3_UW94,slide,2317.9521011663,2,5,0.6934958226,0.5555555556,0.6,0.3333333333,0.2857142857,0.8,0.4444444444,0.5,0.2857142857,0.2857142857,0.2857142857,0.6363636364,0.1666666667,0.5,0.5454545455,0.5555555556
B3_UW93,glasses,2219.3180353798,2,7,0.7070506104,0.8571428571,0.6666666667,0,0.3,0.6923076923,0.5,0.5833333333,0.3,0.3636363636,0.125,0.8,0.2222222222,0.6666666667,0.5555555556,0.5555555556
B3_UW92,crying,2317.9521011663,1,6,0.4406317391,0.4444444444,0.7,0,0.25,0.6363636364,0.5,0.6666666667,0.1428571429,0.2857142857,0.5714285714,0.7692307692,0.4666666667,0.25,0.5833333333,0.375
B3_UW91,balloons,1670.2561164649,2,8,0.4808647283,0.4166666667,0.5384615385,0.3636363636,0,0.4615384615,0.2222222222,0.5833333333,0.2,0.4545454545,0.4545454545,0.5714285714,0.5384615385,0.2222222222,0.3636363636,0.7142857143
B3_UW90,green,2347.0509155108,1,5,0.4072349268,0.6666666667,0.375,0.1666666667,0,0.4285714286,0.5555555556,0.5454545455,0.4285714286,0,0.1666666667,0.5,0.2857142857,0.5,0.6,0.75
B3_UW9,hoist,2252.3939381268,1,5,0.4584282794,0.5,0.5555555556,0.5714285714,0.3333333333,0.7777777778,0.5,0.625,0.3333333333,0.4285714286,0.2857142857,0.2857142857,0.2857142857,0.4285714286,0.5,0.6666666667
B3_UW89,clown,1904.3660424139,1,5,0.5131646796,0.1666666667,0.5714285714,0.2857142857,0.375,0.6666666667,0.3333333333,0.5,0.2857142857,0.4285714286,0.625,0.7777777778,0.2857142857,0.4285714286,0.5,0.625
B3_UW88,frog,1538.412493449,1,4,0.5429899958,0.3333333333,0.625,0,0.4285714286,0.4166666667,0.2,0.625,0.7142857143,0.3333333333,0.5,0.7272727273,0.5,0.7142857143,0.4444444444,0.625
B3_UW87,drum,1352.0832074987,1,4,0.4358784905,0.5,0.5,0,0.5,0.5555555556,0.4444444444,0.5,0.4285714286,0.625,0.5714285714,0.7,0.5714285714,0.4285714286,0.3333333333,0.5
B3_UW86,brush,1352.0832074987,1,5,0.3344650786,0.5,0.5,0.4285714286,0.1666666667,0.5,0.4545454545,0.5833333333,0.375,0.375,0.4444444444,0.6666666667,0.5,0.375,0.3846153846,0.2857142857
B3_UW85,flowers,2161.4146759446,2,7,0.6959057644,0.5,0.8461538462,0.125,0.4444444444,0.5384615385,0.25,0.8461538462,0.2222222222,0.6363636364,0.5,0.75,0.4,0.25,0.3636363636,0.5
B3_UW84,pajamas,1745.6006785213,3,7,0.5584820131,0.5833333333,0.4444444444,0,0.4166666667,0.5,0.4736842105,0.5882352941,0.5,0.4,0.5,0.6,0.3636363636,0.3636363636,0.5,0.5714285714
B3_UW83,jumping,2208.8048659153,2,7,0.7888385466,0.4166666667,0.5333333333,0.25,0.4166666667,0.5384615385,0.5384615385,0.6153846154,0.4166666667,0.5714285714,0.125,0.8571428571,0.2222222222,0.3636363636,0.5,0.6428571429
B3_UW82,soothing,2104.4088673016,2,8,0.6818311547,0.5,0.5714285714,0.2,0.4166666667,0.6923076923,0.3636363636,0.6923076923,0.4166666667,0.6,0.2222222222,0.6428571429,0.5,0.3,0.6923076923,0.4615384615
B3_UW81,sandpipers,4119.502673497,3,10,0.8203064964,0.7894736842,0.7368421053,0.3076923077,0.5625,0.7894736842,0.5,0.7894736842,0.6111111111,0.6111111111,0.5,0.7142857143,0.1818181818,0.5625,0.4375,0.5714285714
B3_UW80,praiseworthy,3825.0837800548,4,12,0.8673973045,0.4375,0.6315789474,0,0.5,0.7692307692,0.3125,0.84,0.4117647059,0.6111111111,0.2666666667,0.8095238095,0.2857142857,0.4375,0.4827586207,0.5294117647
B3_UW8,Heyward,2872.8899972564,2,7,0.6562879315,0.5454545455,0.5,0.4166666667,0.25,0.5714285714,0.5454545455,0.5833333333,0.3333333333,0.6875,0.4,0.8571428571,0.125,0.3333333333,0.3333333333,0.5625
