File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B3_UW73,inexhaustible,3344.5266866049,5,13,0.750042891,0.56,0.5,0.0,0.45454545450000006,0.6666666667,0.5483870968,0.5833333333,0.5833333333,0.64,0.14285714289999998,0.6363636364,0.0,0.45,0.5769230769,0.6153846154
B3_UW50,exaggerate,3626.9108166609003,5,10,0.7720332643000001,0.5625,0.5,0.0,0.4375,0.7272727273,0.1818181818,0.5909090909,0.42857142859999997,0.4666666667,0.3076923077,0.6086956522,0.3076923077,0.5882352941,0.5238095238,0.5217391304
B2_UW36,authoritative,2736.9381123115,6,13,0.7728998061,0.5714285714,0.6363636364,0.3888888889,0.45,0.6363636364,0.4761904762,0.8076923077,0.5,0.3125,0.3125,0.6521739129999999,0.36842105259999997,0.55,0.5,0.5454545454999999
B2_UW30,apothecary,2920.7489230028004,5,10,0.5268292653,0.6363636364,0.7777777778,0.5625,0.5294117647,0.64,0.5,0.7368421053,0.6111111111,0.6111111111,0.4666666667,0.34693877549999996,0.3571428571,0.5714285714,0.6190476189999999,0.7619047619
B2_UW22,agricultural,3541.8379333808,5,12,0.8123733731,0.5909090909,0.5789473684,0.21428571429999999,0.44444444439999997,0.6956521739,0.5,0.64,0.5,0.5238095238,0.2,0.6538461538,0.3888888889,0.5238095238,0.5909090909,0.5416666667
B1_UW68,dissatisfaction,4517.458511697199,5,15,0.7033427234,0.65625,0.7777777778,0.35,0.3913043478,0.5641025640999999,0.42857142859999997,0.7333333333,0.5454545454999999,0.1666666667,0.3157894737,0.71875,0.2631578947,0.6153846154,0.5925925926,0.6666666667
B1_UW5,psychological,5007.6937612279,5,13,0.6676284714999999,0.625,0.5714285714,0.2666666667,0.5238095238,0.5652173913,0.2941176471,0.5185185185,0.45,0.25,0.25,0.5769230769,0.0,0.5909090909,0.5769230769,0.6818181818000001
B1_UW47,overshadowed,3351.8017127396997,5,12,0.7596324345000001,0.5185185185,0.4375,0.21428571429999999,0.5555555556,0.9230769231,0.5263157895,0.76,0.5652173913,0.5789473684,0.2666666667,0.6666666667,0.375,0.5714285714,0.5652173913,0.7
B1_UW45,legislature,4122.1439292708,5,11,0.8071778423999999,0.7391304348000001,0.6315789474,0.23076923079999997,0.5263157895,0.76,0.4,0.7,0.4666666667,0.5789473684,0.2857142857,0.6190476189999999,0.21428571429999999,0.5,0.68,0.6666666667
B1_UW41,inalienable,3082.381508947,5,11,0.6527636879,0.5625,0.5294117647,0.1666666667,0.3076923077,0.7142857143000001,0.5789473684,0.5294117647,0.5263157895,0.5555555556,0.4117647059,0.6521739129999999,0.0833333333,0.7,0.4705882353,0.5
B1_UW4,irresolute,3277.4689528093,5,10,0.8292766531999999,0.44827586210000003,0.7894736842,0.0,0.4666666667,0.6842105262999999,0.3571428571,0.7058823529000001,0.3076923077,0.4666666667,0.1666666667,0.5882352941,0.0,0.3076923077,0.5882352941,0.6111111111
B1_UW36,exactitude,3330.0033125304,5,10,0.8195448331,0.5263157895,0.5789473684,0.25,0.4117647059,0.6190476189999999,0.5,0.7142857143000001,0.5555555556,0.6,0.5294117647,0.6666666667,0.3571428571,0.4705882353,0.4705882353,0.5882352941
B1_UW23,autobiography,4505.5754442238,5,13,0.3087754793,0.5833333333,0.3529411765,0.1333333333,0.55,0.4761904762,0.5238095238,0.5384615385,0.25,0.3333333333,0.2,0.42105263159999995,0.3125,0.56,0.625,0.5416666667
B1_UW1,naturalization,4622.9074457345005,6,14,0.9332320239,0.625,0.5882352941,0.3,0.5,0.6875,0.3636363636,0.8125,0.6153846154,0.6315789474,0.45454545450000006,0.8235294118,0.45454545450000006,0.4166666667,0.3846153846,0.5625
