File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B1_C1,Command,2104.8972615652,2,7,-0.5450888539000001,2882.7324172927,1716.9274117228,4179.767825969,5454.3092390242,1696.9220957189002,3879.9456067113,3714.1233223604,3281.0617741485,4391.620768576,4382.224483649,3247.3801533386,5267.278101472,3012.0518560045,2642.6434732393,1858.8710816184
B1_C10,Line,2317.9521011663,1,4,-0.2586256066,1354.5710216876,1359.1569945313001,3078.7937747319,7016.3600422888,1351.3070045809,4402.1371401815995,3155.8806632581,8818.2649881143,6376.364082075601,1954.9192207214999,2950.4042281946004,5663.082965690201,1420.088184167,2123.345758492,1348.8391011797
B1_C11,Paragraph,3243.5409170894,3,9,-0.7901661436,4726.9871146958,1551.6535530065,11351.6595334866,6476.0319138325,1730.6931705116,4519.2237251982,3363.5150155311,6758.795923350401,6688.7725304079,13893.383696217901,2123.698702442,9292.9180104845,4106.8914198175,4026.0618325394,2043.1697552637
B1_C12,Sentence,2490.7268630229,3,8,-0.6405791684000001,1093.7663355188001,970.1698773216,6678.9711118797995,9696.8636593635,3174.3121120232,4610.920842619,3808.7313287745,4701.6628455646005,5456.6694686346,6433.7248513595,1917.0119954013,13161.2674128835,1819.9937009629,2250.2649565262,1265.4162406216
B1_C13,Paste,2216.2059027329997,2,5,-0.7508827629000001,1757.1101446723999,692.8483907856,10496.2852048409,4483.9850007992,758.6414855378,4083.3376122479,4142.5462468858,2295.2670964564,3124.325549407,7934.4299693825,706.9480530610001,7439.7428999573995,1029.3250902215,2169.5427996489,1213.4436328702
B1_C14,Cut,1352.0832074987,1,3,-0.4679671797,861.4238717499001,712.2660349683999,1955.4922597381,4495.6157806703995,783.3530565046001,770.4220014174001,2955.76862868,3228.6847003068,4328.9868473274,6709.212499791601,954.122817563,6064.523438574201,715.5379443357001,1114.950722485,1363.0801003484
B1_C15,Copy,2615.2583505705998,2,4,-0.5350989144,1856.5542061099,1110.463580485,3683.2354706339,4277.4111912832,1539.1834769352,2209.7739528609,3666.3107517491,5426.4323370273,6390.8372393198,12701.2241388406,1997.9306055251998,7680.6268620662,2753.2446239807,2185.7474300312,2328.3551414479
B1_C16,Upward,1584.982327291,1,6,-0.7018470235,1771.3109003048,1750.6248272179,8318.4585298691,7209.2244224789,1672.3966813220002,4456.7999175832,1663.4327281068,9405.7762281786,4098.0851627966995,9512.7046456439,1654.6902414315,5889.1059476796,1943.2126837237,2958.3970993113,2061.3129235013002
B1_C17,Downward,2161.4146759446,2,8,-0.5797199673,2233.0599104697,2175.6406139088,5073.9992921443,3529.7080179021004,2168.4328404278,9173.7615185288,2892.5319708049,9085.0145670254,5873.1872544360995,8383.709991086,2987.5184916273997,14702.2942545537,2619.3428288143,3304.8948847842,4459.6671796584005
B1_C18,Left,1890.1854406379998,1,4,-0.546229906,658.229555535,657.6513007596,12418.045889175,7236.964417784399,671.6247157647,1323.1122443446,2179.2328815468,3889.5514774352,4889.9178619088,5239.4595372368,1845.1908409262,5745.659143596899,761.8445851358,1189.971183964,3053.8032316837
