File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B1_UW1,naturalization,4622.9074457345005,6,14,-0.5507426892,1501.4524429854,2068.6489720787,8924.345119679201,5109.73614315,1615.4712304952,3757.36317229,3062.1241348006,9035.7812800556,4418.4803091317,4560.9377034218,2888.8368468764,11419.021222380701,1675.8937121323002,3473.8249756406,1559.9797895615
B1_UW23,autobiography,4505.5754442238,5,13,-0.629248414,4104.2577025962,2374.223458775,13847.151941505701,8094.1268726758,2408.838451925,3159.1514319725,2847.5022874155998,8753.001620044599,6981.759498307901,28340.054520074504,3896.2467237113,9861.372474694599,7363.930769093398,3893.0272932591997,3031.4477257171
B1_UW36,exactitude,3330.0033125304,5,10,-0.4994113098,3719.7363522965998,1230.0935133238002,4962.9535477215,9152.6945774965,2473.7031960357,4862.5552261218,5354.4219816846,3832.8910600798,2626.2318545618,4263.003723968,4624.1180672759,9124.3287621254,1932.2199728502999,2615.8577848697,1593.4747543248002
B1_UW4,irresolute,3277.4689528093,5,10,-0.6480088649,3905.1106798608002,2638.7126782545,23717.893977519903,7639.7100203761,2190.1419651979,6027.8235730822,2041.1570953282999,3583.0175540369,2801.8069169418,7078.2930011391,2575.4399901675,8988.7993545334,2655.9483211581,2762.5662842873,2077.0428269026
B1_UW41,inalienable,3082.381508947,5,11,-0.5079476047,5300.963077353,2638.8248610513,5724.3133929711,4325.0102983458,2288.1737781025,6090.2590510736,2474.620379381,6134.0252005349,9547.2614933839,7263.4601359949,7997.7890323351,13673.4421682361,2285.1522386803,5151.878503846901,2266.2052043969
B1_UW45,legislature,4122.1439292708,5,11,-0.6985525667,1462.1489287757001,983.5970043028999,14552.5476772723,4435.4683431368,1523.815636503,5025.5762733578995,5549.7169943645995,2448.4680932999,4349.9574807705,7274.3401168607,1551.7670298975,17380.0534185894,3412.8864129825,5045.3569569621,3588.3127105115004
B1_UW47,overshadowed,3351.8017127396997,5,12,-0.5156812107,5099.7941604681,2838.8533504782,7139.3151874935,7069.2544223386,2749.0727160699,2774.170087374501,7797.292477819301,3090.6363034562,5352.1843321348,8265.8075631952,2348.1477416918,13243.1488227988,7565.693137820699,3251.1555700339,2002.5130105511998
B1_UW5,psychological,5007.6937612279,5,13,-0.7615568365000001,1515.2172029181,1339.5129670709,8527.2961568151,4190.5424850826,1380.2856240244,5893.210955677298,1930.397022338,5738.4877451090015,3499.0998492986,6319.8114716983,2198.9004044193,6050.094838088299,1509.077058658,3961.1616972690003,3384.2286305079997
B1_UW68,dissatisfaction,4517.458511697199,5,15,-0.7730178888,3844.3788775886,1732.5695295766,11019.723684241399,6012.242740494399,2008.4593187235,4020.0989841836,1646.144819489,3159.9694914857,5691.4331991565,9484.035189055101,4769.1651742238,11574.545540769299,4570.3989514569,3678.7088125349,2041.9920010404999
B2_UW22,agricultural,3541.8379333808,5,12,-0.5364609731000001,3210.8941654863,2385.4290639041,7952.7331869389,9728.955462169699,2707.2845015242,7583.552487703399,2708.4464276114,2924.1853741068,2627.3383633262,2551.5630215329998,2474.5227877757998,4215.1687558588,2986.2044396441997,2928.3446240311,2582.9577038335997
B2_UW30,apothecary,2920.7489230028004,5,10,-0.6438962252,2545.6264420429,2020.70375063,4517.863031193599,11648.067749748001,2149.7325022932,2725.270190062,2030.8912781954,3336.2754323004997,4220.5268275452,15149.5486402736,6777.4866213388,14168.9463391503,2742.6060770764,2615.019039725,2211.9745288415
B2_UW36,authoritative,2736.9381123115,6,13,-0.6048390811,3031.0600458722997,2039.8894565924,10600.3552772026,15649.925674330902,3030.604922815,4997.023302923,1867.2065864248998,3438.9462423708,3193.1004612343,3928.4475466334,2500.4332188388003,11968.128836978998,2120.1606470101997,2948.1648597942,4513.205012303
B3_UW50,exaggerate,3626.9108166609003,5,10,-0.666245826,2574.6236905669,2785.7576265174,18339.7319480491,5604.9229919225,2961.0975451496997,3034.7828746687,2738.6791418212,3287.3991074165997,2573.133763585,9697.2287015668,2283.1480767413,6169.4893579329,2526.0105977154003,3097.7046515294,2683.3729730301
B3_UW73,inexhaustible,3344.5266866049,5,13,-0.5325909999,2158.7275826318,1802.4642792514,10720.0109234376,8901.7405061623,2979.9998236931,6640.2788273827,1879.8988410794,11132.8886696344,2566.4892779278,3574.5753661165004,4100.5230667507,5921.123881224201,2239.0803322688002,8278.187806140899,3204.1238791403002
