File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B1_UW1,naturalization,4622.9074457345005,6,14,0.8760501432,17.3913043478,42.8571428571,0.0,21.0526315789,66.6666666667,21.0526315789,56.0,30.7692307692,33.3333333333,0.0,66.6666666667,13.333333333299999,21.0526315789,30.0,32.0
B2_UW36,authoritative,2736.9381123115,6,13,0.6666893389,47.61904761899999,45.4545454545,33.3333333333,20.0,54.5454545455,28.5714285714,76.9230769231,20.0,25.0,25.0,52.1739130435,10.5263157895,40.0,27.2727272727,27.2727272727
B1_UW23,autobiography,4505.5754442238,5,13,0.0414943498,33.3333333333,23.529411764699997,13.333333333299999,40.0,19.0476190476,28.5714285714,23.0769230769,12.5,22.2222222222,13.333333333299999,21.0526315789,25.0,24.0,16.6666666667,25.0
B1_UW36,exactitude,3330.0033125304,5,10,0.8528405294,21.0526315789,42.1052631579,16.6666666667,23.529411764699997,47.61904761899999,20.0,57.1428571429,22.2222222222,40.0,23.529411764699997,57.1428571429,14.2857142857,23.529411764699997,23.529411764699997,35.2941176471
B1_UW4,irresolute,3277.4689528093,5,10,0.8359556304000001,20.6896551724,73.6842105263,0.0,26.6666666667,52.631578947399994,14.2857142857,58.8235294118,15.3846153846,26.6666666667,0.0,35.2941176471,0.0,15.3846153846,35.2941176471,44.4444444444
B1_UW41,inalienable,3082.381508947,5,11,0.6261785744,31.25,47.058823529399994,16.6666666667,30.7692307692,47.61904761899999,42.1052631579,35.2941176471,21.0526315789,44.4444444444,23.529411764699997,43.4782608696,0.0,50.0,23.529411764699997,37.5
B1_UW45,legislature,4122.1439292708,5,11,0.7549628079,60.869565217399995,42.1052631579,15.3846153846,31.5789473684,64.0,26.6666666667,60.0,40.0,42.1052631579,14.2857142857,47.61904761899999,0.0,25.0,40.0,25.0
B1_UW47,overshadowed,3351.8017127396997,5,12,0.7416064659,22.2222222222,37.5,14.2857142857,44.4444444444,92.30769230770001,31.5789473684,72.0,34.7826086957,42.1052631579,13.333333333299999,51.851851851899994,25.0,47.61904761899999,43.4782608696,70.0
B1_UW5,psychological,5007.6937612279,5,13,0.5156383219,33.3333333333,42.8571428571,26.6666666667,28.5714285714,26.0869565217,11.7647058824,14.8148148148,20.0,12.5,12.5,38.4615384615,0.0,36.3636363636,30.7692307692,54.5454545455
B1_UW68,dissatisfaction,4517.458511697199,5,15,0.7173079515,50.0,74.0740740741,10.0,17.3913043478,41.0256410256,38.0952380952,60.0,45.4545454545,0.0,21.0526315789,56.25,10.5263157895,38.4615384615,22.2222222222,46.6666666667
B2_UW22,agricultural,3541.8379333808,5,12,0.7644405579000001,45.4545454545,42.1052631579,14.2857142857,33.3333333333,43.4782608696,18.1818181818,32.0,20.0,19.0476190476,0.0,38.4615384615,11.1111111111,28.5714285714,27.2727272727,33.3333333333
B2_UW30,apothecary,2920.7489230028004,5,10,0.7054513343000001,45.4545454545,66.6666666667,37.5,23.529411764699997,56.0,42.8571428571,63.1578947368,44.4444444444,44.4444444444,26.6666666667,28.5714285714,14.2857142857,38.0952380952,38.0952380952,57.1428571429
B3_UW50,exaggerate,3626.9108166609003,5,10,0.5470562897,50.0,25.0,0.0,12.5,54.5454545455,18.1818181818,27.2727272727,28.5714285714,26.6666666667,15.3846153846,26.0869565217,15.3846153846,35.2941176471,28.5714285714,17.3913043478
B3_UW73,inexhaustible,3344.5266866049,5,13,0.6928855967,24.0,30.0,0.0,18.1818181818,59.2592592593,32.2580645161,25.0,41.6666666667,32.0,14.2857142857,36.3636363636,0.0,20.0,30.7692307692,30.7692307692
