File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B1_C1,Command,2104.8972615652,2,7,0.5946526816,0.0784313725,0.075,0.0,0.051813471500000007,0.1,0.1071428571,0.115942029,0.0320512821,0.1538461538,0.0563380282,0.1395348837,0.011682243,0.064516129,0.0508474576,0.0666666667
B1_C10,Line,2317.9521011663,1,4,0.40479565219999997,0.0,0.064516129,0.0909090909,0.0101867572,0.1666666667,0.025210084,0.08,0.0909090909,0.14285714289999998,0.0967741935,0.1333333333,0.0178571429,0.0975609756,0.0909090909,0.0666666667
B1_C11,Paragraph,3243.5409170894,3,9,0.7348610733,0.0794223827,0.09722222220000001,0.0909090909,0.0740740741,0.18,0.0529801325,0.1818181818,0.06818181820000001,0.15853658539999999,0.0909090909,0.16,0.026548672599999996,0.09433962259999999,0.058181818200000006,0.1129032258
B1_C12,Sentence,2490.7268630229,3,8,0.4435650835,0.0952380952,0.0666666667,0.0909090909,0.140625,0.125,0.0114942529,0.11538461539999999,0.037593985,0.1267605634,0.0617283951,0.14,0.06896551719999999,0.140625,0.0231213873,0.1136363636
B1_C13,Paste,2216.2059027329997,2,5,0.31616354609999997,0.0334728033,0.22222222219999999,0.0909090909,0.1764705882,0.1020408163,0.0428571429,0.09375,0.0952380952,0.1,0.0909090909,0.1034482759,0.0909090909,0.0909090909,0.030674846600000003,0.10526315789999999
B1_C14,Cut,1352.0832074987,1,3,0.6027256558,0.1,0.0930232558,0.0909090909,0.0684931507,0.1724137931,0.11764705880000001,0.1,0.0657894737,0.1,0.08,0.14285714289999998,0.0625,0.0952380952,0.0909090909,0.1538461538
B1_C15,Copy,2615.2583505705998,2,4,0.7262605658,0.10112359550000001,0.14,0.075,0.0769230769,0.1470588235,0.11627906980000001,0.18421052629999998,0.0579710145,0.1304347826,0.0909090909,0.1470588235,0.08,0.058823529400000005,0.0540540541,0.1739130435
B1_C16,Upward,1584.982327291,1,6,0.7351419911,0.2162162162,0.20512820510000002,0.0909090909,0.1034482759,0.1764705882,0.1666666667,0.19444444440000003,0.0985915493,0.0909090909,0.0857142857,0.23684210530000002,0.0337078652,0.1379310345,0.0909090909,0.1627906977
B1_C17,Downward,2161.4146759446,2,8,0.7339411273,0.0315789474,0.1571428571,0.0365853659,0.07246376809999999,0.1764705882,0.0324412003,0.21818181820000002,0.0909090909,0.1525423729,0.0909090909,0.1860465116,0.0909090909,0.131147541,0.04,0.0952380952
B1_C18,Left,1890.1854406379998,1,4,0.7441266964,0.075,0.12903225810000002,0.0,0.0081967213,0.14814814810000002,0.042553191500000004,0.12,0.0789473684,0.0330578512,0.0833333333,0.1851851852,0.037037037,0.0789473684,0.1081081081,0.1034482759
B1_C19,Right,2317.9521011663,1,5,0.7758586076999999,0.0697674419,0.2285714286,0.0,0.0909090909,0.21052631579999997,0.11111111109999999,0.2121212121,0.064516129,0.2258064516,0.0952380952,0.1935483871,0.0,0.1666666667,0.11764705880000001,0.1666666667
B1_C2,Backspace,2289.2549454574,3,9,0.6232739781000001,0.067961165,0.115942029,0.0833333333,0.0759493671,0.0895522388,0.031007751899999998,0.15,0.052631578899999996,0.08,0.0631578947,0.15,0.07,0.06896551719999999,0.0219178082,0.0625
B1_C3,Delete,2378.6186102087,3,6,0.7521808937000001,0.0727272727,0.10526315789999999,0.0909090909,0.0869565217,0.24444444440000002,0.0909090909,0.14285714289999998,0.0833333333,0.1470588235,0.0465116279,0.2,0.03,0.10526315789999999,0.01,0.1470588235
B1_C4,Enter,2323.3551533373998,1,5,0.7660541259999999,0.0657894737,0.2,0.0,0.0606060606,0.1860465116,0.0296610169,0.1454545455,0.0666666667,0.1818181818,0.1142857143,0.1351351351,0.05,0.0862068966,0.040201005,0.1333333333
B1_C5,Tab,2038.6387615269,1,3,0.5672895969,0.12,0.0666666667,0.0909090909,0.0705882353,0.1956521739,0.0731707317,0.1379310345,0.0675675676,0.1351351351,0.0909090909,0.13636363640000002,0.0579710145,0.0909090909,0.027027027000000002,0.0882352941
B1_C6,Escape,2225.6598505305,2,6,0.7552621706999999,0.0853658537,0.1136363636,0.09836065570000001,0.0833333333,0.0816326531,0.0303030303,0.16949152539999998,0.0666666667,0.109375,0.046875,0.1463414634,0.032967033,0.08108108110000001,0.0377358491,0.1230769231
B1_C7,Alt,1538.4124934489998,1,3,0.5749815993,0.064516129,0.08108108110000001,0.0909090909,0.0909090909,0.1875,0.0421686747,0.1666666667,0.12903225810000002,0.21052631579999997,0.0833333333,0.16,0.054945054900000005,0.0909090909,0.0508474576,0.064516129
B1_C8,Control,1882.1140863804999,2,7,0.7454462437999999,0.0631578947,0.16393442619999998,0.052173912999999995,0.1139240506,0.16,0.0534351145,0.11111111109999999,0.0597014925,0.11320754720000001,0.04395604400000001,0.23529411760000002,0.033333333300000004,0.15517241380000002,0.0206185567,0.12328767119999999
B1_C9,Shift,2078.3370756449,1,5,0.6390640183,0.0731707317,0.175,0.056603773600000004,0.0869565217,0.14814814810000002,0.0537634409,0.125,0.0909090909,0.1923076923,0.0909090909,0.1785714286,0.058823529400000005,0.23255813949999998,0.0909090909,0.1739130435
B1_CW1,the,2347.0509155107998,1,3,0.40063951,0.04938271599999999,0.1282051282,0.0909090909,0.1578947368,0.0952380952,0.0666666667,0.0909090909,0.0740740741,0.14285714289999998,0.060975609800000004,0.1724137931,0.1,0.0952380952,0.0354609929,0.11538461539999999
B1_CW10,it,2078.3370756449,1,2,0.6250439737,0.0573476703,0.0833333333,0.0,0.0909090909,0.125,0.0909090909,0.14285714289999998,0.11111111109999999,0.11111111109999999,0.0909090909,0.1666666667,0.0833333333,0.11111111109999999,0.015873015900000002,0.10526315789999999
B1_CW100,yes,1890.1854406379998,1,3,0.1535675609,0.1282051282,0.0909090909,0.0909090909,0.0833333333,0.1034482759,0.1351351351,0.1379310345,0.11111111109999999,0.1212121212,0.0909090909,0.11764705880000001,0.0909090909,0.14285714289999998,0.12765957449999998,0.0857142857
B1_CW11,he,2347.0509155107998,1,2,-0.0672223431,0.0909090909,0.0952380952,0.0909090909,0.0909090909,0.1,0.0909090909,0.0869565217,0.0833333333,0.1764705882,0.1379310345,0.11111111109999999,0.0909090909,0.0952380952,0.0909090909,0.0740740741
B1_CW12,was,1352.0832074987,1,3,0.33518702359999997,0.04,0.055555555599999994,0.0,0.0869565217,0.14285714289999998,0.0198675497,0.0967741935,0.0909090909,0.0909090909,0.1666666667,0.1612903226,0.0909090909,0.0769230769,0.0909090909,0.11538461539999999
B1_CW13,for,1191.2652937108999,1,3,0.5817813038,0.060975609800000004,0.10526315789999999,0.0967741935,0.0909090909,0.14814814810000002,0.125,0.15,0.0666666667,0.1351351351,0.05,0.125,0.0666666667,0.0731707317,0.0491803279,0.1
B1_CW14,on,1538.4124934489998,1,2,0.7083449525,0.0109489051,0.0909090909,0.05,0.0296296296,0.0909090909,0.0575539568,0.0909090909,0.0909090909,0.0909090909,0.05,0.11111111109999999,0.0303030303,0.0869565217,0.0379746835,0.0869565217
B1_CW15,are,1538.4124934489998,2,3,0.6069467129999999,0.026178010499999998,0.1333333333,0.0408163265,0.0251572327,0.1764705882,0.125,0.125,0.0666666667,0.0909090909,0.0461538462,0.1666666667,0.0243902439,0.08,0.1388888889,0.0769230769
B1_CW16,as,2038.6387615269,1,2,0.5379532431,0.0652173913,0.0377358491,0.042553191500000004,0.028901734100000003,0.0952380952,0.0769230769,0.0869565217,0.0813953488,0.125,0.0625,0.15,0.0769230769,0.05,0.030769230800000002,0.125
B1_CW17,with,2078.3370756449,1,4,0.4873217143,0.0392156863,0.11764705880000001,0.0740740741,0.0041208791,0.12903225810000002,0.0668380463,0.13636363640000002,0.15,0.14814814810000002,0.0769230769,0.14285714289999998,0.125,0.1025641026,0.021428571400000002,0.0714285714
B1_CW18,his,2078.3370756449,1,3,0.2396639807,0.0606060606,0.0754716981,0.10526315789999999,0.08108108110000001,0.1515151515,0.08,0.1081081081,0.0740740741,0.1081081081,0.0909090909,0.0967741935,0.0909090909,0.052631578899999996,0.0428571429,0.0652173913
B1_CW19,they,2216.2059027329997,1,4,0.4362977146,0.1025641026,0.0731707317,0.0769230769,0.0769230769,0.1470588235,0.0909090909,0.0638297872,0.075,0.0909090909,0.0769230769,0.15625,0.0,0.125,0.14285714289999998,0.1219512195
B1_CW2,of,1352.0832074987,1,2,0.40060213200000006,0.036036036,0.0952380952,0.0571428571,0.05,0.0833333333,0.043478260899999996,0.11764705880000001,0.10526315789999999,0.0967741935,0.0857142857,0.125,0.125,0.0909090909,0.0909090909,0.1
B1_CW20,I,2317.9521011663,1,1,0.5976820643999999,0.0909090909,0.1666666667,0.0909090909,0.0909090909,0.0909090909,0.0373134328,0.1666666667,0.0909090909,0.0909090909,0.10526315789999999,0.1666666667,0.0909090909,0.064516129,0.0909090909,0.0909090909
B1_CW21,at,2038.6387615269,1,2,0.5635587117,0.0909090909,0.0909090909,0.0869565217,0.0205479452,0.10526315789999999,0.037037037,0.10526315789999999,0.0634920635,0.0704225352,0.10526315789999999,0.14285714289999998,0.0606060606,0.0714285714,0.0416666667,0.0952380952
B1_CW22,be,2347.0509155107998,1,2,0.2441988968,0.044444444400000005,0.1,0.0952380952,0.0,0.1,0.0131195335,0.10526315789999999,0.0,0.0769230769,0.0,0.0833333333,0.06818181820000001,0.11111111109999999,0.22222222219999999,0.1
B1_CW23,this,2078.3370756449,1,4,0.6832196120999999,0.0540540541,0.1578947368,0.0,0.1,0.1851851852,0.0952380952,0.14285714289999998,0.1212121212,0.2608695652,0.031746031699999996,0.1923076923,0.0909090909,0.1666666667,0.058823529400000005,0.125
B1_CW24,have,2216.2059027329997,1,4,0.4853708995,0.1034482759,0.061224489800000004,0.0,0.06818181820000001,0.15,0.09195402300000001,0.1025641026,0.0545454545,0.1081081081,0.1071428571,0.14814814810000002,0.042553191500000004,0.0,0.10526315789999999,0.0967741935
B1_CW25,from,1352.0832074987,1,4,0.34597663240000004,0.125,0.1555555556,0.0,0.0930232558,0.1818181818,0.2,0.125,0.0652173913,0.1212121212,0.09375,0.1,0.0769230769,0.10526315789999999,0.0909090909,0.0740740741
B1_CW26,or,1191.2652937108999,1,2,0.35549782679999997,0.0707070707,0.0465116279,0.0909090909,0.0952380952,0.1666666667,0.0909090909,0.0909090909,0.125,0.064516129,0.0625,0.14285714289999998,0.0540540541,0.052631578899999996,0.0909090909,0.0666666667
B1_CW27,had,2038.6387615269,1,3,0.7562687683,0.11111111109999999,0.0769230769,0.0,0.0346020761,0.1304347826,0.0361445783,0.125,0.0952380952,0.0769230769,0.0666666667,0.15,0.0909090909,0.0545454545,0.0674157303,0.1818181818
B1_CW28,by,2317.9521011663,1,2,0.3264689456,0.11764705880000001,0.0909090909,0.0,0.1081081081,0.0714285714,0.0438596491,0.064516129,0.0909090909,0.031674208100000004,0.0476190476,0.0909090909,0.0909090909,0.10526315789999999,0.034090909100000004,0.0625
B1_CW29,word,1458.1896310151,1,4,0.5689864171,0.0530973451,0.1764705882,0.1875,0.006423982900000001,0.1578947368,0.0769230769,0.1666666667,0.1282051282,0.0975609756,0.0909090909,0.15625,0.0327868852,0.0909090909,0.017699115,0.1515151515
B1_CW3,and,1352.0832074987,1,3,0.6555729951,0.0967741935,0.0714285714,0.0909090909,0.0909090909,0.16,0.027972028,0.1025641026,0.13559322029999998,0.0909090909,0.0625,0.15,0.0337078652,0.0454545455,0.0,0.0967741935
B1_CW30,but,1352.0832074987,1,3,0.42830167469999997,0.05,0.1034482759,0.075,0.10526315789999999,0.1,0.0898876404,0.0833333333,0.1379310345,0.125,0.0384615385,0.14814814810000002,0.1020408163,0.0882352941,0.0341880342,0.0769230769
B1_CW31,not,1538.4124934489998,1,3,-0.09762185890000001,0.0909090909,0.0833333333,0.0,0.1739130435,0.0952380952,0.11764705880000001,0.0952380952,0.075,0.0714285714,0.1764705882,0.14814814810000002,0.11111111109999999,0.0769230769,0.0967741935,0.08
B1_CW32,what,1352.0832074987,1,4,0.6029042554,0.057692307699999994,0.1071428571,0.0,0.1739130435,0.1379310345,0.0731707317,0.10526315789999999,0.11764705880000001,0.12,0.0909090909,0.2,0.08,0.0740740741,0.043478260899999996,0.2
B1_CW33,all,1352.0832074987,1,3,0.45286132030000004,0.018957346,0.11764705880000001,0.0909090909,0.0714285714,0.10526315789999999,0.0106122449,0.0909090909,0.1578947368,0.0602409639,0.11111111109999999,0.1333333333,0.0377358491,0.0952380952,0.0357142857,0.0952380952
B1_CW34,were,1458.1896310151,2,4,0.6266295303,0.0229885057,0.2,0.0476190476,0.0909090909,0.2,0.1333333333,0.1379310345,0.0952380952,0.1666666667,0.0952380952,0.1851851852,0.0357142857,0.12903225810000002,0.0,0.0909090909
B1_CW35,we,2347.0509155107998,1,2,0.3731330035,0.0909090909,0.1333333333,0.0,0.0909090909,0.125,0.0784313725,0.0,0.0909090909,0.1,0.0714285714,0.10526315789999999,0.0,0.11764705880000001,0.10526315789999999,0.0666666667
B1_CW36,when,1890.1854406379998,1,4,0.5342979581,0.0281690141,0.11764705880000001,0.0,0.0205479452,0.1333333333,0.0625,0.125,0.0638297872,0.1034482759,0.0545454545,0.0420944559,0.0909090909,0.0909090909,0.0202020202,0.0666666667
B1_CW37,your,1191.2652937108999,1,4,0.6300647539,0.0909090909,0.152173913,0.0,0.21052631579999997,0.1739130435,0.13636363640000002,0.18421052629999998,0.0952380952,0.1860465116,0.0909090909,0.23684210530000002,0.0952380952,0.1578947368,0.0684931507,0.1666666667
