File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B1_UW1,naturalization,4622.9074457345005,6,14,0.850551053,0.0495867769,0.2,0.0,0.0675675676,0.13559322029999998,0.010727056,0.1739130435,0.0786516854,0.0476190476,0.037037037,0.1636363636,0.0201342282,0.1,0.057591623,0.08474576269999999
B1_UW23,autobiography,4505.5754442238,5,13,0.6702225997,0.0305676856,0.1,0.1111111111,0.0361445783,0.1111111111,0.0375,0.1875,0.0701754386,0.0606060606,0.012987013,0.1012658228,0.0173160173,0.1184210526,0.0367170626,0.1777777778
B1_UW36,exactitude,3330.0033125304,5,10,0.5423181544,0.0177935943,0.1392405063,0.125,0.0161290323,0.0436241611,0.0178147268,0.15476190480000002,0.0346153846,0.1006711409,0.0456852792,0.14285714289999998,0.0106951872,0.1170212766,0.03125,0.115942029
B1_UW4,irresolute,3277.4689528093,5,10,0.7915275184999999,0.05643340860000001,0.1097560976,0.0,0.0414201183,0.15517241380000002,0.0584415584,0.0875,0.0697674419,0.1111111111,0.0833333333,0.1147540984,0.0,0.0746268657,0.038961039,0.1549295775
B1_UW41,inalienable,3082.381508947,5,11,0.5263493801,0.0285714286,0.0945945946,0.0909090909,0.0266666667,0.109375,0.0232172471,0.1052631579,0.05806451610000001,0.0649350649,0.0522875817,0.2133333333,0.0909090909,0.094017094,0.0297619048,0.075
B1_UW45,legislature,4122.1439292708,5,11,0.6946453004,0.0677966102,0.1265822785,0.1052631579,0.1578947368,0.1739130435,0.0481927711,0.1710526316,0.0476190476,0.0934579439,0.0291262136,0.1666666667,0.0142180095,0.15044247789999998,0.0419947507,0.2023809524
B1_UW47,overshadowed,3351.8017127396997,5,12,0.8498670984000001,0.0368,0.1090909091,0.0055248619,0.08510638300000001,0.1367521368,0.071942446,0.1818181818,0.094972067,0.12903225810000002,0.0330578512,0.2328767123,0.0093457944,0.0948275862,0.0569395018,0.1754385965
B1_UW5,psychological,5007.6937612279,5,13,0.8396347253,0.1052631579,0.1926605505,0.0909090909,0.0964912281,0.12903225810000002,0.0099403579,0.19148936170000005,0.0839694656,0.0465116279,0.0285714286,0.2027027027,0.0,0.0601092896,0.047752809000000014,0.1466666667
B1_UW68,dissatisfaction,4517.458511697199,5,15,0.8712871490999999,0.0754098361,0.14285714289999998,0.0029377203,0.096,0.1546391753,0.0144329897,0.1759259259,0.0552147239,0.0387096774,0.035502958599999995,0.2110091743,0.0227272727,0.0877192982,0.029109589,0.1801801802
B2_UW22,agricultural,3541.8379333808,5,12,0.84740447,0.062962963,0.1216216216,0.0202020202,0.0620155039,0.1538461538,0.0208913649,0.17441860469999998,0.0709677419,0.1235955056,0.0225988701,0.2638888889,0.0387323944,0.1007751938,0.049382715999999986,0.1032258065
B2_UW30,apothecary,2920.7489230028004,5,10,0.6727759191,0.0625,0.1315789474,0.0434782609,0.056179775300000005,0.1833333333,0.0918367347,0.1764705882,0.0679012346,0.1097560976,0.0414201183,0.0248283148,0.005730659,0.0967741935,0.0442708333,0.1704545455
B2_UW36,authoritative,2736.9381123115,6,13,0.8893583494,0.0866141732,0.1234567901,0.0568181818,0.07189542480000001,0.1294117647,0.030640668500000006,0.1842105263,0.0692307692,0.1153846154,0.06,0.1411764706,0.0310077519,0.0909090909,0.0393120393,0.1571428571
B3_UW50,exaggerate,3626.9108166609003,5,10,0.7178380968000001,0.052238806,0.1,0.0,0.0869565217,0.14285714289999998,0.0909090909,0.1884057971,0.0359281437,0.2222222222,0.0571428571,0.175,0.0129449838,0.0909090909,0.0420711974,0.1686746988
B3_UW73,inexhaustible,3344.5266866049,5,13,0.7575210484,0.0960451977,0.130952381,0.0,0.0985915493,0.1323529412,0.0662100457,0.1578947368,0.08108108110000001,0.1931818182,0.0909090909,0.1333333333,0.0,0.12903225810000002,0.037444933900000005,0.1818181818
